Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.219,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.5,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.703,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
1.063,TraderOne,Tick,0,0,0,0,,140400,0,0,0,OK
1.203,TraderOne,Tick,0,0,0,0,,140400,0,0,0,OK
1.5,TraderOne,Tick,0,0,0,0,,140400,0,0,0,OK
1.735,TraderOne,Tick,0,0,0,0,,140400,0,0,0,OK
2.032,TraderOne,Tick,0,49,-49,0,141000,140400,-690,6899890,10490,OK
2.266,TraderOne,Tick,0,49,-49,0,141000,140400,-690,6899890,10490,OK
2.516,TraderOne,Tick,0,49,-49,0,141000,140600,-690,6899890,690,OK
2.75,TraderOne,Tick,0,49,-49,0,141000,140600,-690,6899890,690,OK
3.0,TraderOne,Tick,0,49,-49,0,141100,140600,-690,6899890,690,OK
3.219,TraderOne,Tick,0,49,-49,0,141100,140600,-690,6899890,690,OK
3.516,TraderOne,Tick,0,49,-49,0,141100,140600,-690,6899890,690,OK
3.766,TraderOne,Tick,0,49,-49,0,141100,140600,-690,6899890,690,OK
4.016,TraderOne,Tick,0,49,-49,0,141100,140600,-690,6899890,690,OK
4.313,TraderOne,Tick,0,98,-98,0,141200,140600,-1380,13804680,6280,OK
4.469,TraderOne,Tick,0,98,-98,0,141200,140600,-1380,13804680,6280,OK
4.766,TraderOne,Tick,0,98,-98,0,141200,140500,-1380,13804680,16080,OK
4.969,TraderOne,Tick,45,98,-53,0,140100,140500,-2010,7500810,64910,OK
5.203,TraderOne,Tick,45,98,-53,0,140100,140400,-2010,7500810,70210,OK
5.547,TraderOne,Tick,48,98,-50,0,139900,140400,-2052,7081152,71152,OK
5.703,TraderOne,Tick,48,98,-50,0,139900,140400,-2052,7081152,71152,OK
5.985,TraderOne,Tick,48,98,-50,0,139900,140400,-2052,7081152,71152,OK
6.282,TraderOne,Tick,48,147,-99,0,140900,140400,-2741,13976141,56741,OK
6.532,TraderOne,Tick,48,147,-99,0,140900,140400,-2741,13976141,56741,OK
6.719,TraderOne,Tick,48,147,-99,0,140900,140400,-2741,13976141,56741,OK
7.0,TraderOne,Tick,48,147,-99,0,140600,140400,-2741,13976141,56741,OK
7.297,TraderOne,Tick,48,147,-99,0,140600,140400,-2741,13976141,56741,OK
7.563,TraderOne,Tick,48,147,-99,0,140600,140400,-2741,13976141,56741,OK
7.766,TraderOne,Tick,97,147,-50,0,139800,140400,-3427,7116827,106827,OK
7.985,TraderOne,Tick,103,147,-44,0,139900,140400,-3259,6277259,108459,OK
8.266,TraderOne,Tick,103,149,-46,0,140700,140400,-3287,6558687,91087,OK
8.547,TraderOne,Tick,103,149,-46,0,140700,140400,-3287,6558687,91087,OK
8.75,TraderOne,Tick,103,149,-46,0,140700,140400,-3287,6558687,91087,OK
8.953,TraderOne,Tick,103,149,-46,0,140700,140400,-3287,6558687,91087,OK
9.203,TraderOne,Tick,103,149,-46,0,140700,140400,-3287,6558687,91087,OK
9.532,TraderOne,Tick,103,149,-46,0,140300,140400,-3287,6558687,104887,OK
9.75,TraderOne,Tick,103,149,-46,0,140300,140400,-3287,6558687,104887,OK
10.047,TraderOne,Tick,103,149,-46,0,140300,140400,-3287,6558687,104887,OK
10.25,TraderOne,Tick,103,149,-46,0,140300,140400,-3287,6558687,104887,OK
10.469,TraderOne,Tick,103,179,-76,0,140900,140400,-3710,10786110,100510,OK
10.766,TraderOne,Tick,103,179,-76,0,140900,140500,-3710,10786110,92910,OK
10.953,TraderOne,Tick,103,179,-76,0,140900,140500,-3710,10786110,92910,OK
11.25,TraderOne,Tick,103,179,-76,0,140900,140500,-3710,10786110,92910,OK
11.469,TraderOne,Tick,103,179,-76,0,140900,140500,-3710,10786110,92910,OK
11.766,TraderOne,Tick,103,179,-76,0,140900,140500,-3710,10786110,92910,OK
11.953,TraderOne,Tick,103,179,-76,0,140900,140500,-3710,10786110,92910,OK
12.203,TraderOne,Tick,103,179,-76,0,140900,140500,-3710,10786110,92910,OK
12.547,TraderOne,Tick,103,179,-76,0,140900,140500,-3710,10786110,92910,OK
12.813,TraderOne,Tick,103,179,-76,0,140300,140500,-3710,10786110,123310,OK
13.016,TraderOne,Tick,103,179,-76,0,140300,140500,-3710,10786110,123310,OK
13.235,TraderOne,Tick,103,179,-76,0,140300,140500,-3710,10786110,123310,OK
13.5,TraderOne,Tick,152,179,-27,0,140100,140500,-4397,3916997,128897,OK
13.719,TraderOne,Tick,152,211,-59,0,141000,140400,-4848,8429448,134048,OK
14.032,TraderOne,Tick,152,211,-59,0,141000,140400,-4848,8429448,134048,OK
14.219,TraderOne,Tick,152,211,-59,0,141000,140400,-4848,8429448,134048,OK
14.5,TraderOne,Tick,152,211,-59,0,141000,140400,-4848,8429448,134048,OK
14.75,TraderOne,Tick,152,211,-59,0,141000,140400,-4848,8429448,134048,OK
15.016,TraderOne,Tick,152,211,-59,0,141100,140400,-4848,8429448,134048,OK
15.297,TraderOne,Tick,152,211,-59,0,141100,140400,-4848,8429448,134048,OK
15.563,TraderOne,Tick,152,211,-59,0,140400,140400,-4848,8429448,145848,OK
15.766,TraderOne,Tick,152,211,-59,0,140400,140400,-4848,8429448,145848,OK
15.985,TraderOne,Tick,152,211,-59,0,140400,140400,-4848,8429448,145848,OK
16.235,TraderOne,Tick,152,211,-59,0,140400,140400,-4848,8429448,145848,OK
16.547,TraderOne,Tick,152,211,-59,0,140400,140400,-4848,8429448,145848,OK
16.735,TraderOne,Tick,152,211,-59,0,140400,140400,-4848,8429448,145848,OK
16.985,TraderOne,Tick,152,211,-59,0,140400,140400,-4848,8429448,145848,OK
17.25,TraderOne,Tick,152,211,-59,0,140400,140400,-4848,8429448,145848,OK
17.532,TraderOne,Tick,152,211,-59,0,140400,140400,-4848,8429448,145848,OK
17.75,TraderOne,Tick,152,211,-59,0,140400,140400,-4848,8429448,145848,OK
18.016,TraderOne,Tick,152,211,-59,0,140400,140400,-4848,8429448,145848,OK
18.219,TraderOne,Tick,152,211,-59,0,140100,140400,-4848,8429448,157648,OK
18.469,TraderOne,Tick,152,211,-59,0,140100,140300,-4848,8429448,163548,OK
